date,description,amount_out,amount_in
13/10/2018,Cash RB Scot Oct13 Tesco Killburn,£50.00,
13/10/2018,Cash Barclay Asda Oct13,£10.00,
13/10/2018,Cash BNKM Cooperative Oct13,£10.00,
13/10/2018,Cash BNKM Cooperative Oct14,£10.00,
14/10/2018,Mastercard,£37.52,
14/10/2018,Cash in HSBC 16Oct,,£130.00
14/10/2018,Mcdonalds Kilburn,£8.45,
14/10/2018,Ben Stevens Kilburn,£8.09,
14/10/2018,Golders Green Park,£10.00,
14/10/2018,Just Eat London,£11.90,
16/10/2018,Care Home Ltd Salary,,£136.31
17/10/2018,Mum transfer in: washing machine,,£350.00
17/10/2018,Asda superstore,£48.00,
17/10/2018,BP petrol station,£20.00,
17/10/2018,A B Ltd Dublin,£8.00,
17/10/2018,Mcdonalds Kilburn,£4.47,
18/10/2018,Pre-notified fees and charges,£13.00,
18/10/2018,British Gas Trading Britishgas.co,£9.00,
18/10/2018,Tesco Pump ,£20.00,
18/10/2018,A B Ltd Dublin,£5.00,
18/10/2018,A B Ltd Dublin,£5.00,
19/10/2018,Cash Natwide Oct19,£20.00,
19/10/2018,Poundstretcher,£29.97,
19/10/2018,Halfords Kilburn,£14.99,
19/10/2018,Halfords Kilburn,£11.99,
19/10/2018,Shell Finchley,£10.00,
19/10/2018,Work and child tax credit,,£165.65
20/10/2018,Cash bnkm Oct20,£20.00,
20/10/2018,Tombola.co.uk betting,£10.00,
20/10/2018,Mcdonalds Kilburn,£8.95,
21/10/2018,Cash RB SCOT Oct21,£250.00,
21/10/2018,Cash Barclay Asda Oct21,£50.00,
23/10/2018,Child benefit,,£82.80
23/10/2018,Care Home Ltd Salary,,£174.77
23/10/2018,Cash bnkm Oct23,£20.00,
23/10/2018,Tombola.co.uk betting,£10.00,
23/10/2018,A B Ltd Dublin,£5.00,
23/10/2018,Tesco ,£12.75,
23/10/2018,Mastercard,£40.36,
23/10/2018,Mcdonalds Kilburn,£8.28,
23/10/2018,Mcdonalds Kilburn,£8.07,
24/10/2018,Paypal ,£12.00,
24/10/2018,British Gas Trading Britishgas.co,£12.00,
24/10/2018,British Gas Trading Britishgas.co,£9.00,
24/10/2018,Wickes,£28.98,
25/10/2018,Cash RB Scot Oct25,£20.00,
25/10/2018,Petrol station M25,£10.00,
25/10/2018,Asda superstore,£28.23,
25/10/2018,Finchley services,£20.86,
26/10/2018,A B Ltd Dublin,£5.00,
26/10/2018,White Swan,£7.79,
26/10/2018,Work and child tax credit,,£165.65
27/10/2018,A B Ltd Dublin,£5.00,
27/10/2018,Cash Bnkm Cooperative,£20.00,
28/10/2018,McDonalds Kilburn,£8.48,
29/10/2018,Mastercard,£11.10,
29/10/2018,Lloyds Pharmacy,£2.19,
29/10/2018,Transfer in: money for children,,£250.00
29/10/2018,British Gas Trading Britishgas.co,£20.00,
30/10/2018,Care Home Ltd Salary,,£188.24
02/11/2018,Work and child tax credit,,£165.65
02/11/2018,Mike Test,,£999.99
03/11/2018,Mike Test,,"£1,000.00"
03/11/2018,Mike Test,,"£1,000.00"
01/11/2018,Mike Test,£100.00,
01/11/2018,Mike Test,£500.00,
01/11/2018,Mike Test,£550.00,
01/11/2018,Mike Test,£700.00,
01/11/2018,Mike Test,£400.00,
01/11/2018,Mike Test,£600.00,
01/11/2018,Mike Test,,"£2,800.00"
01/11/2018,Mike Test,,"£2,900.00"
01/11/2018,Mike Test,,"£3,300.00"
01/11/2018,Mike Test,,"£2,500.00"
01/11/2018,Mike Test,,£600.00
01/11/2018,Mike Test,,£500.00
01/11/2018,NPE2-test2,,"£2,000.00"
01/11/2018,Mike Test,,£400.00
01/11/2018,Mike Test,,£300.00
01/11/2018,Mike Test,,£92.00
01/11/2018,Mike Test,,£200.00
01/11/2018,NPE8-test2,,£200.00
01/11/2018,Mike Test,,£250.00
01/11/2018,Mike Test,,£180.00
01/11/2018,NPE2-test3,,"£1,278.01"
01/11/2018,NPE6-test2,,"£1,415.00"
01/11/2018,Mike Test,,£700.00
02/11/2018,Creation.co.uk loan repayment,£54.80,
02/11/2018,Mike Test,,£500.00
02/11/2018,NPE8-test2,,£250.00
02/11/2018,Mike Test,,£92.00
02/11/2018,H3G,£34.88,
02/11/2018,Asda superstore,£33.56,
02/11/2018,Tombola.co.uk betting,£10.00,
02/11/2018,Garden Centre,£6.99,
02/11/2018,Asda superstore,£53.33,
02/11/2018,British Gas Trading Britishgas.co,£19.00,
02/11/2018,Mike Test,,£600.00
06/11/2018,Care Home Ltd Salary,,£186.40
04/11/2018,Mike Test,,£0.01
07/11/2018,Cash Natwest 06Oct,£20.00,
09/11/2018,Work and child tax credit,,£165.65
09/11/2018,Cash in from betting win,,£120.00
09/11/2018,Jess Jones Rent 0735454,"£1,048.50",
09/11/2018,A B Ltd Dublin,£5.00,
09/11/2018,British Gas Trading Britishgas.co,£19.00,
09/11/2018,Ben Stevens Kilburn,£3.00,
09/11/2018,Queens park,£11.11,
09/11/2018,McDonalds Kilburn,£15.11,
13/11/2018,Hastings direct,£49.73,
13/11/2018,Cash RB Scot Nov13 Tesco Killburn,£50.00,
13/11/2018,Cash Barclay Asda Nov13,£10.00,
13/11/2018,Cash BNKM Cooperative Nov13,£10.00,
13/11/2018,Cash BNKM Cooperative Nov14,£10.00,
13/11/2018,Care Home Ltd Salary,,£175.31
14/11/2018,Mastercard,£37.52,
14/11/2018,Friend transfer in,,£130.00
14/11/2018,Mcdonalds Kilburn,£8.45,
14/11/2018,Ben Stevens Kilburn,£8.09,
14/11/2018,Golders Green Park,£10.00,
14/11/2018,Just Eat London,£11.90,
16/11/2018,Work and child tax credit,,£165.65
17/11/2018,Cash in HSBC 17Nov,,£150.00
17/11/2018,Asda superstore,£48.00,
17/11/2018,BP petrol station,£20.00,
17/11/2018,A B Ltd Dublin,£8.00,
17/11/2018,Mcdonalds Kilburn,£4.47,
18/11/2018,Pre-notified fees and charges,£13.00,
18/11/2018,British Gas Trading Britishgas.co,£9.00,
18/11/2018,Tesco Pump ,£20.00,
19/11/2018,Cash Natwide Nov19,£20.00,
19/11/2018,Shell Finchley,£10.00,
23/11/2018,Work and child tax credit,,£165.65
20/11/2018,Care Home Ltd Salary,,£174.77
20/11/2018,Cash bnkm Nov20,£20.00,
20/11/2018,Tombola.co.uk betting,£10.00,
20/11/2018,Mcdonalds Kilburn,£8.95,
20/11/2018,Child benefit,,£82.80
23/11/2018,Tesco ,£12.75,
23/11/2018,Mastercard,£40.36,
23/11/2018,Mcdonalds Kilburn,£8.28,
23/11/2018,Mcdonalds Kilburn,£8.07,
24/11/2018,British Gas Trading Britishgas.co,£12.00,
24/11/2018,British Gas Trading Britishgas.co,£9.00,
25/11/2018,Cash RB Scot Nov25,£20.00,
25/11/2018,Petrol station M25,£10.00,
25/11/2018,Asda superstore,£28.23,
25/11/2018,Finchley services,£20.86,
26/11/2018,A B Ltd Dublin,£5.00,
26/11/2018,White Swan,£7.79,
27/11/2018,Cash Bnkm Cooperative,£20.00,
27/11/2018,Care Home Ltd Salary,,£108.24
29/11/2018,Mastercard,£11.10,
29/11/2018,Lloyds Pharmacy,£2.19,
29/11/2018,British Gas Trading Britishgas.co,£20.00,
29/11/2018,Just Eat London,£15.80,
29/11/2018,Transfer in: money for children,,£250.00
30/11/2018,Work and child tax credit,,£165.65
01/12/2018,Mike Test,£500.00,
01/12/2018,Mike Test,£100.00,
01/12/2018,Mike Test,£550.00,
01/12/2018,Mike Test,£700.00,
01/12/2018,Mike Test,£400.00,
01/12/2018,Mike Test,£600.00,
01/12/2018,Mike Test,,£999.99
01/12/2018,Mike Test,,"£2,800.00"
01/12/2018,Mike Test,,"£2,900.00"
01/12/2018,Mike Test,,"£3,300.00"
01/12/2018,Mike Test,,"£2,500.00"
01/12/2018,"NPE8-test2
",,£180.00
02/12/2018,Mike Test,,"£1,000.00"
01/12/2018,Mike Test,,£600.00
01/12/2018,NPE2-test2,,"£2,039.00"
01/12/2018,Mike Test,,£500.00
01/12/2018,Mike Test,,£400.00
01/12/2018,Mike Test,,£300.00
01/12/2018,Mike Test,,£92.00
01/12/2018,Mike Test,,£200.00
01/12/2018,Mike Test,,£250.00
01/12/2018,Mike Test,,£180.00
01/12/2018,NPE2-test3,,"£1,278.01"
01/12/2018,NPE6-test2,,"£1,415.00"
02/12/2018,NPE8-test2,,£208.00
01/12/2018,Mike Test,,£700.00
02/12/2018,Creation.co.uk loan repayment,£54.80,
02/12/2018,Mike Test,,£500.00
02/12/2018,Mike Test,,£92.00
02/12/2018,DVLA-REGNUM,£19.25,
02/12/2018,H3G,£34.88,
02/12/2018,Asda superstore,£67.92,
02/12/2018,Tombola.co.uk betting,£10.00,
02/12/2018,Garden Centre,£6.99,
02/12/2018,Asda superstore,£53.33,
02/12/2018,British Gas Trading Britishgas.co,£19.00,
02/12/2018,Mike Test,,£600.00
03/11/2018,Mike Test,,£0.01
03/11/2018,Mike Test,,"£1,000.00"
03/12/2018,Sky digital,£56.79,
04/11/2018,Mike Test,,"£1,000.00"
04/12/2018,Care Home Ltd Salary,,£188.30
07/12/2018,Work and child tax credit,,£165.55
07/12/2018,Cash Natwest 06Oct,£20.00,
07/12/2018,Cash Notemachine ,£30.00,
09/12/2018,Cash in HSBC 09Nov,,£80.00
09/12/2018,Jess Jones Rent 0735454,"£1,048.50",
09/12/2018,A B Ltd Dublin,£5.00,
09/12/2018,British Gas Trading Britishgas.co,£19.00,
09/12/2018,Ben Stevens Kilburn,£3.00,
09/12/2018,Queens park,£11.11,
09/12/2018,McDonalds Kilburn,£15.11,
11/12/2018,Care Home Ltd Salary,,£116.40
14/12/2018,Work and child tax credit,,£165.65
13/12/2018,Hastings direct,£49.73,
13/12/2018,Cash Barclay Asda Nov13,£10.00,
13/12/2018,Cash BNKM Cooperative Nov13,£10.00,
13/12/2018,Cash BNKM Cooperative Nov14,£10.00,
14/12/2018,Mastercard,£37.52,
14/12/2018,Cash in HSBC 16Nov,,£130.00
14/12/2018,Mcdonalds Kilburn,£8.45,
14/12/2018,Ben Stevens Kilburn,£8.09,
14/12/2018,Golders Green Park,£10.00,
14/12/2018,Just Eat London,£11.90,
17/12/2018,Asda superstore,£48.00,
17/12/2018,BP petrol station,£20.00,
17/12/2018,Mcdonalds Kilburn,£4.47,
18/12/2018,Care Home Ltd Salary,,£136.31
18/12/2018,Pre-notified fees and charges,£13.00,
18/12/2018,British Gas Trading Britishgas.co,£9.00,
18/12/2018,Tesco Pump ,£20.00,
18/12/2018,Child benefit,,£82.80
19/12/2018,Cash Natwide Nov19,£20.00,
19/12/2018,Shell Finchley,£10.00,
20/11/2018,Mike Test,,"£1,000.00"
21/12/2018,Mum transfer in,,£250.00
21/12/2018,Work and child tax credit,,£165.65
20/12/2018,Cash bnkm Nov20,£20.00,
20/12/2018,Tombola.co.uk betting,£10.00,
20/12/2018,Mcdonalds Kilburn,£8.95,
23/12/2018,Cash bnkm Nov23,£20.00,
23/12/2018,Tombola.co.uk betting,£10.00,
23/12/2018,A B Ltd Dublin,£5.00,
23/12/2018,Tesco ,£12.75,
23/12/2018,Mastercard,£40.36,
23/12/2018,Mcdonalds Kilburn,£8.28,
23/12/2018,Mcdonalds Kilburn,£8.07,
24/12/2018,Paypal ,£12.00,
24/12/2018,British Gas Trading Britishgas.co,£12.00,
24/12/2018,British Gas Trading Britishgas.co,£9.00,
25/12/2018,Care Home Ltd Salary,,£174.77
25/12/2018,Cash RB Scot Nov25,£20.00,
26/12/2018,A B Ltd Dublin,£5.00,
26/12/2018,White Swan,£57.79,
